cancer,feature_internal,feature_display,beta,pathways,variant_types,logic,gene,n_altered_train,freq_train,univ_HR,univ_p,abs_logHR,contribution,rank_in_feature
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),FANCC,25,0.0054,0.882,0.6423864247613321,0.1253,0.0007,126.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),FBXW7,67,0.0146,0.952,0.755338921520125,0.0496,0.0007,126.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MGA,244,0.0532,0.988,0.8837891807083335,0.0124,0.0007,126.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),RAD51D,22,0.0048,0.869,0.6202193277436038,0.1404,0.0007,126.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),AKT1,37,0.0081,1.076,0.7308738386909371,0.0729,0.0006,132.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MYCL,18,0.0039,0.859,0.6484167010134656,0.1516,0.0006,132.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MYCN,52,0.0113,1.052,0.7836812135813777,0.0505,0.0006,132.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CDKN2C,21,0.0046,0.892,0.7134793785806379,0.1144,0.0005,135.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),EZH2,44,0.0096,1.055,0.7906756724830485,0.0532,0.0005,135.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),NTRK3,231,0.0503,1.009,0.9175842835212532,0.009,0.0005,135.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CUL3,73,0.0159,1.023,0.8800431967431668,0.0229,0.0004,138.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),ERRFI1,32,0.007,0.947,0.8143609269569707,0.055,0.0004,138.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),BLM,52,0.0113,0.972,0.8727438096431213,0.0288,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),BRIP1,107,0.0233,0.987,0.9156593422407557,0.0132,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CHEK1,28,0.0061,0.953,0.8491897642983159,0.0478,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),PALB2,82,0.0179,1.018,0.9011566863134092,0.0177,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),SMARCE1,9,0.002,1.158,0.7765425514288989,0.1463,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),TET1,149,0.0325,1.01,0.9295269329879067,0.0096,0.0003,140.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),ERCC2,69,0.015,0.986,0.9279705385174601,0.0141,0.0002,146.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MAP2K1,52,0.0113,1.019,0.9175788558988385,0.019,0.0002,146.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),SMARCD1,31,0.0068,0.976,0.9166820637701762,0.024,0.0002,146.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),AKT3,57,0.0124,1.011,0.9482070504509341,0.011,0.0001,149.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CREBBP,170,0.0371,0.998,0.9859652492435259,0.0018,0.0001,149.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),PIK3R1,54,0.0118,0.992,0.9643599175832029,0.0079,0.0001,149.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),RAF1,34,0.0074,1.007,0.9750442207998665,0.0071,0.0001,149.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CDKN1A,20,0.0044,0.998,0.9955282024107164,0.0016,0.0,153.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),PIK3R3,32,0.007,1.004,0.9858058449755518,0.0041,0.0,153.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),FANCL,1,0.0002,,,,,
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MBD3,1,0.0002,,,,,
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),MRE11,2,0.0004,,,,,
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),NPRL3,1,0.0002,,,,,
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),EP300,117,0.0255,1.343,0.009225235577551416,0.2949,0.0075,1.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),NCOR1,118,0.0257,1.189,0.13052750178883937,0.1729,0.0044,2.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),NOTCH3,131,0.0286,1.121,0.30244991194266435,0.1139,0.0033,3.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),NOTCH1,122,0.0266,0.94,0.6086149181893089,0.0616,0.0016,4.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),KDM5A,95,0.0207,1.065,0.6339341024119138,0.0627,0.0013,5.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),NOTCH4,182,0.0397,1.029,0.7693693425335661,0.0286,0.0011,6.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),FBXW7,67,0.0146,0.952,0.755338921520125,0.0496,0.0007,7.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),NOTCH2,123,0.0268,0.974,0.8206229322481882,0.0268,0.0007,7.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),SPEN,115,0.0251,0.976,0.8479653641526123,0.0239,0.0006,9.0
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,fraction of pathway genes with mut/amp/del (z-scored),CREBBP,165,0.036,1.009,0.9262892702129673,0.0094,0.0003,10.0
LUAD,PW_NRF2_zsum,NRF2_zsum,0.1115316999404081,NRF2,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,KEAP1,618,0.1347,1.657,8.327935021840367e-22,0.5051,0.068,1.0
LUAD,PW_NRF2_zsum,NRF2_zsum,0.1115316999404081,NRF2,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,NFE2L2,86,0.0187,1.585,0.0003473710578055435,0.4607,0.0086,2.0
LUAD,PW_NRF2_zsum,NRF2_zsum,0.1115316999404081,NRF2,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,CUL3,73,0.0159,1.023,0.8800431967431668,0.0229,0.0004,3.0
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,nonsilent-mutation rate over pathway genes (z-scored),EGFR,1390,0.303,0.859,0.0003227364358048515,0.1516,0.0459,1.0
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,nonsilent-mutation rate over pathway genes (z-scored),KRAS,1542,0.3361,1.039,0.35156577197231753,0.0378,0.0127,2.0
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,nonsilent-mutation rate over pathway genes (z-scored),ERBB2,193,0.0421,1.32,0.0018519777224712873,0.2778,0.0117,3.0
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,nonsilent-mutation rate over pathway genes (z-scored),SOS1,51,0.0111,1.533,0.013429872521464346,0.4272,0.0047,4.0
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,nonsilent-mutation rate over pathway genes (z-scored),IGF1R,70,0.0153,1.305,0.06961953001925528,0.2665,0.0041,5.0
